0.1511, 0.1350
0.2862, 0.1744
0.4293, 0.1821
0.8348, 0.2050
0.8825, 0.3940
2.1625, 0.5525
3.3233, 1.3927
5.7163, 1.5868
6.4955, 2.2471
7.9663, 2.2828
9.8505, 2.9022
15.4794, 4.5095
17.6181, 8.5981
42.7651, 13.2817
7.9663, 4.2116
9.2247, 4.2174
16.2175, 5.2304
30.0012, 9.1963
4.8846, 2.6476
6.3830, 5.5493
10.7981, 7.9517
21.4164, 9.6833
52.5122, 23.5853
318.0302, 27.8358
388.7823, 37.1863
53.8048, 32.6956
113.5208, 43.2054
3.1844, 2.0828
5.6899, 4.5205
11.0428, 5.0718
15.5984, 7.8325
32.4518, 9.5384
35.9847, 12.7303
45.7792, 22.2656
131.1968, 47.2345
4.7714, 2.6321
6.7875, 3.4266
8.2332, 3.4691
20.6855, 6.2000
29.4676, 10.4477
43.8783, 12.1090
44.3541, 12.8529
52.6853, 18.2524
64.8623, 26.0824
1063.1066, 31.4430
12.0874, 4.5517
12.6457, 5.6189
21.1134, 8.4340
25.4845, 11.1086
27.3459, 12.9553
41.1664, 13.8669
48.0061, 32.2185
1.0153, 0.4429
1.5334, 0.5370
1.8235, 0.7606
2.6575, 0.9689
3.3465, 2.1911
8.0994, 2.2817
8.7857, 4.8565
19.1463, 11.9022
57.0594, 11.9725
63.5024, 22.5779
0.5160, 0.3080
1.1352, 1.0204
2.9928, 1.8036
3.8184, 2.4851
23.8390, 16.4167
157.9979, 18.6400
176.5738, 26.5672
7.5000, 5.5233
18.5937, 11.7918
26.4062, 13.1026
151.0156, 46.0629
2.4286, 2.3710
9.8000, 7.3640
13.7429, 8.2894
31.4857, 17.3403
97.1429, 26.0870
324.9143, 37.6412
11.8259, 9.8139
39.0728, 10.0680
67.3605, 11.8146
327.5307, 17.5703
399.5270, 18.1439
4.5853, 3.7438
10.7676, 4.5116
11.4374, 6.2413
15.1984, 8.1395
19.1654, 12.7108
63.2664, 29.7570
