time,open,high,low,close,Volume,Volume MA
1701264600,60.35,60.81,60.26,60.59,106641.45,183439.9595000011
1701266400,60.6,61.62,60.49,61.14,312104.08,195398.9380000011
1701268200,61.13,61.16,59.83,60.12,336026.57,208420.1520000011
1701270000,60.11,60.36,59.11,59.95,438521.59,226599.12950000112
1701271800,59.94,60.25,59.8,60.06,165461.8,231343.7785000011
1701273600,60.06,60.33,59.49,59.67,211066.71,232950.0830000011
1701275400,59.66,59.68,58.88,59.36,188038.34,224984.60200000106
1701277200,59.35,59.53,59.06,59.19,107062.75,219523.12350000106
1701279000,59.19,60.16,59.19,59.86,128889.35,216509.29750000103
1701280800,59.85,59.97,59.57,59.78,83965.18,203473.59250000102
1701282600,59.78,60.1,59.58,60.09,65734.93,188714.39000000103
1701284400,60.09,60.39,59.81,59.83,107134.78,179060.05400000102
1701286200,59.83,60.14,59.71,60.06,136340.09,174045.33700000102
1701288000,60.05,60.23,59.93,60.21,52624.52,167065.26100000102
1701289800,60.22,60.26,59.16,59.29,149649.61,160897.160500001
1701291600,59.29,59.5,58.6,58.9,200766.78,163922.36500000098
1701293400,58.9,59.17,58.78,59.04,89000.4,162589.38550000096
1701295200,59.05,59.45,59.02,59.23,100861.51,159730.84550000096
1701297000,59.24,59.35,59.11,59.16,36725.97,155798.94550000096
1701298800,59.17,59.27,58.85,59.13,78431.06,154752.37350000098
1701300600,59.12,59.45,59.07,59.31,69744.74,152907.53800000096
1701302400,59.31,59.62,58.99,59.39,126444.14,143624.54100000096
1701304200,59.39,59.78,59.19,59.19,83673.8,131006.90250000097
1701306000,59.19,59.43,58.75,59.39,109334.59,114547.55250000097
1701307800,59.39,59.69,59.24,59.28,97466.99,111147.812000001
1701309600,59.28,59.76,59.22,59.75,93283.62,105258.65750000099
1701311400,59.76,60.2,59.76,60.01,139418.22,102827.651500001
1701313200,60,60.23,59.83,60.19,59598.52,100454.44000000099
1701315000,60.19,60.75,60.09,60.42,146909.51,101355.448000001
1701316800,60.42,60.82,60.37,60.61,150149.86,104664.68200000099
1701318600,60.61,60.72,60.28,60.32,87018.21,105728.846000001
1701320400,60.33,60.52,60.05,60.27,52963.55,103020.284500001
1701322200,60.28,60.43,60.07,60.21,45295.44,98468.05200000099
1701324000,60.21,61.25,60.13,60.55,132593.8,102466.516000001
1701325800,60.54,60.73,59.65,60.26,131380.25,101553.048000001
1701327600,60.26,60.45,59.89,60.07,84903.31,95759.874500001
1701329400,60.07,60.27,59.84,60,60638.63,94341.786000001
1701331200,60.01,60.12,59.74,59.86,61921.34,92394.777500001
1701333000,59.86,59.9,59.33,59.49,114301.35,96273.54650000102
1701334800,59.5,59.7,59.24,59.59,108574.1,97780.69850000102
1701336600,59.6,59.76,59.49,59.59,59700.71,97278.497000001
1701338400,59.6,59.94,59.45,59.93,52963.93,93604.48650000102
1701340200,59.94,60.15,59.72,59.72,86523.79,93746.98600000101
1701342000,59.72,60.07,59.58,60,64835.47,91522.030000001
1701343800,60.01,60.94,60.01,60.78,120209.3,92659.145500001
1701345600,60.79,60.96,60.56,60.71,133558.1,94672.869500001
1701347400,60.71,61.7,60.67,61.22,206876.81,98045.79900000102
1701349200,61.21,61.28,60.47,60.65,132935.62,101712.654000001
1701351000,60.64,60.93,59.99,60.31,168360.32,102785.194500001
1701352800,60.31,60.34,59.68,60.01,126504.86,101602.94450000102
1701354600,60.01,60.11,59.52,59.61,150724.65,104788.26650000102
1701356400,59.62,60.01,59.32,59.8,118410.1,108060.59400000102
1701358200,59.81,60,59.15,59.59,129512.75,112271.45950000102
1701360000,59.6,59.62,59.23,59.37,105150.99,110899.31900000104
1701361800,59.37,59.48,59.06,59.11,115481.93,110104.40300000105
1701363600,59.11,59.4,58.96,59.29,94076.23,110563.04900000105
1701365400,59.3,59.48,59.19,59.36,58100.87,110436.16100000106
1701367200,59.36,59.59,59.23,59.58,61719.04,110426.04600000106
1701369000,59.58,59.6,59.23,59.31,47203.21,107071.13900000106
1701370800,59.31,59.63,59.26,59.6,54585.03,104371.68550000105
1701372600,59.59,60,59.57,59.99,89067.22,105840.01100000106
1701374400,59.99,60.05,59.63,59.75,58402.42,106111.93550000107
1701376200,59.76,60.18,59.76,60.02,85057.14,106038.60300000108
1701378000,60.01,60.07,59.75,60.03,55393.06,105566.48250000106
1701379800,60.03,60.12,59.66,59.66,61294.35,102620.73500000106
1701381600,59.67,59.79,59.55,59.67,54912.43,98688.45150000106
1701383400,59.67,59.68,59.24,59.26,46363.6,90662.79100000106
1701385200,59.27,59.3,58.98,59.21,114540.37,89743.02850000106
1701387000,59.21,59.31,59.05,59.3,58770.48,84263.53650000106
1701388800,59.3,59.4,58.69,58.82,122121.21,84044.35400000105
1701390600,58.83,59.05,58.6,58.89,86088.54,80812.54850000105
1701392400,58.89,59.99,58.78,59.96,107837.18,80283.90250000104
1701394200,59.97,60.26,59.65,60.24,169257.77,82271.15350000105
1701396000,60.25,60.88,60,60.67,153198.96,84673.55200000104
1701397800,60.67,61,60.54,60.75,171052.57,87452.08400000105
1701399600,60.74,61.08,60.45,60.81,146490.85,90072.81500000106
1701401400,60.82,60.96,60.64,60.75,94337.78,91884.66050000106
1701403200,60.76,60.97,60.66,60.93,90414.69,93319.44300000105
1701405000,60.92,61.06,60.53,60.7,99797.19,95949.14200000105
1701406800,60.69,60.88,60.63,60.73,51166.8,95778.23050000105
1701408600,60.73,60.75,60.3,60.36,89677.16,95808.72750000106
1701410400,60.35,60.57,60.21,60.51,59036.04,95840.40850000105
1701412200,60.52,60.96,60.5,60.77,83487.07,95761.90500000106
1701414000,60.78,61.3,60.75,61.25,199827.23,102983.61350000105
1701415800,61.25,61.29,60.8,60.86,121277.39,105982.76550000106
1701417600,60.87,61.15,60.86,60.88,79536.41,107213.96450000105
1701419400,60.89,61.08,60.68,61.01,65586.81,108175.12500000105
1701421200,61.02,61.66,61,61.2,199088.76,112402.54450000105
1701423000,61.21,61.84,60.97,61.68,164177,117672.87050000105
1701424800,61.69,61.9,61.2,61.46,177154.38,120424.52900000106
1701426600,61.46,61.51,61.11,61.14,100834.8,121161.84200000104
1701428400,61.13,61.23,60.97,61.09,86753.87,120107.67650000103
1701430200,61.1,61.15,60.81,61.04,83413.46,115815.46100000103
1701432000,61.05,61.2,60.8,60.97,71533.1,111732.16800000104
1701433800,60.97,60.99,60.52,60.61,114064.53,108882.76600000104
1701435600,60.6,60.79,60.45,60.7,62046.66,104660.55650000102
1701437400,60.71,60.8,60.35,60.37,92641.97,104575.76600000102
1701439200,60.38,60.47,60.09,60.35,102216.23,105165.84300000104
1701441000,60.35,60.36,59.82,59.9,145193.68,107435.66750000106
1701442800,59.9,60.14,59.75,59.83,125847.77,111169.71600000106
1701444600,59.84,60.29,59.8,60.12,114407.67,112406.24150000105
1701446400,60.13,60.62,60.01,60.61,144417.76,116675.32750000106
1701448200,60.62,61.66,60.02,60.28,326683.52,128835.15000000107
1701450000,60.27,60.37,59.87,60.21,120185.72,124853.07450000108
1701451800,60.22,60.81,60.11,60.77,163261.83,126952.29650000107
1701453600,60.77,61.05,60.37,60.53,152104.18,130580.68500000107
1701455400,60.53,60.79,60.37,60.43,81442.27,131373.4580000011
1701457200,60.44,60.85,60.23,60.31,106937.92,126765.91600000109
1701459000,60.32,60.57,60.23,60.51,60607.2,121587.4260000011
1701460800,60.52,60.71,60.35,60.39,69566.65,116208.03950000109
1701462600,60.39,60.69,60.18,60.2,84899.12,115411.2555000011
1701464400,60.2,60.48,60.15,60.27,81095.32,115128.3280000011
1701466200,60.28,60.31,60.01,60.05,83194.51,115117.38050000109
1701468000,60.05,60.24,60,60.07,61279.36,114604.69350000107
1701469800,60.08,60.19,60,60.11,36345.52,110718.7430000011
1701471600,60.1,60.19,59.85,59.91,107416.13,112987.21650000107
1701473400,59.92,59.94,59.58,59.75,113491.52,114029.69400000107
1701475200,59.74,59.83,59.67,59.78,65588.51,112198.30800000105
1701477000,59.77,60.16,59.75,60.13,74727.38,108674.99300000104
1701478800,60.13,60.74,60.03,60.68,56932.44,105229.22650000104
1701480600,60.68,60.8,60.32,60.51,97546.47,104386.16650000104
1701482400,60.52,61.15,60.51,61.1,94726.41,101901.59900000104
1701484200,61.09,61.12,60.74,60.94,89424.51,90038.64850000103
1701486000,60.93,61.11,60.84,60.98,78881.06,87973.41550000104
1701487800,60.98,61.09,60.83,61.01,45519.48,82086.29800000103
1701489600,61.02,61.13,60.88,61.08,48119.98,76887.08800000104
1701491400,61.07,61.31,60.8,61.27,80383.85,76834.16700000103
1701493200,61.28,61.56,61.22,61.38,148536.99,78914.12050000104
1701495000,61.37,61.64,61.2,61.6,76797.22,79723.62150000104
1701496800,61.6,61.75,61.39,61.43,95147.61,81002.66950000105
1701498600,61.43,62.06,61.26,62.01,138640.12,83689.71950000105
1701500400,62.01,62.65,61.9,62.12,268819.96,93075.95150000104
1701502200,62.12,62.29,61.92,62.01,120294.96,94930.97400000105
1701504000,62.01,62.13,61.61,61.73,126844.28,98209.22000000105
1701505800,61.73,62.08,61.71,61.89,61938.42,99488.86500000104
1701507600,61.89,62.28,61.75,62.27,118938.94,100065.00550000105
1701509400,62.26,62.48,62.15,62.18,108871.88,99834.02350000103
1701511200,62.18,62.36,61.95,62.07,92990.51,101204.12350000103
1701513000,62.08,62.29,62,62.12,66981.24,100816.81650000103
1701514800,62.13,62.27,61.95,61.99,79229.06,101931.64750000104
1701516600,61.98,62.25,61.85,62.15,67461.16,100427.38200000105
1701518400,62.15,62.35,61.95,62.32,81790.44,99780.58350000104
1701520200,62.34,62.36,62.09,62.24,55954.84,98107.10000000105
1701522000,62.25,62.37,62.1,62.36,96325.55,98979.32450000105
1701523800,62.36,62.56,61.99,62.17,118277.82,102617.24150000105
1701525600,62.17,62.37,61.99,62.16,110226.91,105722.58800000107
1701527400,62.16,62.28,61.45,61.71,145877.33,108997.26200000106
1701529200,61.71,62.1,61.47,62.06,86609.8,105900.90250000106
1701531000,62.07,62.15,61.86,61.89,56770.86,104899.58450000107
1701532800,61.88,62.06,61.86,62.01,37144.6,101999.43400000107
1701534600,62.02,62.02,61.58,61.72,66588.39,98396.84750000107
1701536400,61.72,61.86,61.31,61.63,155647.98,92738.24850000106
1701538200,61.63,61.87,61.63,61.84,37388.3,88592.91550000108
1701540000,61.84,62.29,61.8,62.17,88614.49,86681.42600000107
1701541800,62.18,62.39,61.97,62.1,90518.77,88110.44350000107
1701543600,62.1,63.32,62.06,62.54,344064.21,99366.70700000107
1701545400,62.55,63.05,62.31,62.98,152300.94,101538.16000000108
1701547200,62.98,63.49,62.81,63.08,219345.68,107855.91850000108
1701549000,63.09,63.23,62.91,63.17,91450.5,109079.38150000107
1701550800,63.17,63.21,62.71,62.93,80565.5,109146.20350000107
1701552600,62.92,63.3,62.92,63.18,99439.77,110745.13400000105
1701554400,63.19,63.25,62.73,63.1,101844.01,111747.81250000105
1701556200,63.1,63.2,62.76,62.86,52000.84,111550.11250000105
1701558000,62.87,63.15,62.82,62.99,63719.49,109919.80950000107
1701559800,62.99,63.9,62.97,63.66,162694.3,112140.63350000107
1701561600,63.66,64.04,63.51,63.93,197425.36,116500.55600000106
1701563400,63.93,65.43,63.69,65.24,401194.06,129266.39250000105
1701565200,65.24,65.53,64.64,64.65,208133.83,135342.59400000106
1701567000,64.64,65.23,64.56,65.18,185680.51,141788.07650000107
1701568800,65.18,65.22,64.74,64.75,120095.63,145935.62800000107
1701570600,64.75,65.17,64.73,64.77,100856.36,147649.02650000105
1701572400,64.77,64.9,63.95,64.16,185100.57,149121.65600000106
1701574200,64.17,64.2,63.78,64.09,97989.27,152151.70450000107
1701576000,64.08,64.26,64,64.18,69121.46,151177.05300000106
1701577800,64.17,64.18,63.73,63.89,81593.56,150730.79250000106
1701579600,63.88,64.19,63.6,64.17,87605.74,137907.86900000105
1701581400,64.17,64.3,64,64.15,102709.95,135428.3195000011
1701583200,64.15,64.18,63.88,63.96,44291.79,126675.62500000108
1701585000,63.95,63.97,63.6,63.79,74517.09,125828.95450000107
1701586800,63.79,63.94,63.48,63.92,79233.53,125762.35600000105
1701588600,63.91,64.07,63.71,63.96,71153.21,124348.02800000105
1701590400,63.95,64.13,63.85,63.96,59514.81,122231.56800000106
1701592200,63.95,63.98,63.4,63.51,64114.31,122837.24150000108
1701594000,63.52,63.89,63.48,63.6,48706.58,122086.59600000107
1701595800,63.61,63.64,63.34,63.58,80680.92,117985.92700000107
1701597600,63.57,63.58,63.25,63.5,57218.88,110975.60300000108
1701599400,63.5,63.73,63.3,63.71,54169.94,93624.39700000107
1701601200,63.71,63.72,63.03,63.15,78289.24,87132.16750000106
1701603000,63.16,63.55,63.14,63.52,58397.78,80768.03100000106
1701604800,63.53,63.54,63.24,63.31,55788.38,77552.66850000105
1701606600,63.32,63.35,62.44,62.62,166448.41,80832.27100000104
1701608400,62.61,63.36,62.55,63.26,107239.59,76939.22200000104
1701610200,63.27,63.62,63.08,63.38,103478.82,77213.69950000105
1701612000,63.37,63.61,62.8,63.13,107253.49,79120.30100000105
1701613800,63.12,63.34,62.8,62.81,67267.96,78404.02100000104
1701615600,62.8,62.99,62.52,62.79,98184.88,78932.97800000105
1701617400,62.81,63.24,62.81,62.98,82665.46,77930.75350000105
1701619200,62.99,63.02,62.5,62.79,121244.51,81778.38950000105
1701621000,62.8,63.02,62.72,62.83,38587.29,79981.89950000105
